gene,BB9,BB10,BB17,BB19,BB20,BB21,BB11,BB12,BB18,,
gcd,45.3949,40.2367,36.0432,95.2301,82157,75.4762,65.3459,62.3029,57.1372,2391,62.1471
gcl,67.8941,64.8415,55.5294,102464,109543,94.5362,69.3803,81.1824,56.9481,1782,78.0355
gcvA,89.3103,97.2303,112.3,97.9033,82.5668,102565,111213,109219,115551,918,101984
gcvB,424786,602639,872501,746879,526731,455382,673008,294711,490661,206,565255
gcvH,318872,316297,440.1,645515,638062,355921,296167,162046,396031,390,396557
gcvP,386919,396.76,645604,798652,787216,394095,457748,168223,438956,2874,497.13
gcvR,230197,270413,451515,419531,412492,212044,200702,98.3418,209886,573,278347
gcvT,613551,598006,951825,1080.9,1087.29,522872,562403,219922,544463,1095,686803
gdhA,53.7476,56.4979,46.0497,79.9226,79.5564,66.6217,53.0741,49.7183,50.6732,1344,59.5402
gfcA,53.9068,51.0342,54.0921,70.9708,49.9998,49.7743,36158,46.6647,50.7836,306,51.4872
gfcB,61892,62417,59.9717,69.4117,58.6205,56.7091,48.6031,57.3699,43.9954,645,57.6656
gfcC,39.2392,50.5378,27.4569,33.5451,28.4863,39.0798,30.4089,48.0563,41.7868,747,37.6219
gfcD,55707,51.0704,48.2176,32.5824,37.3192,46.9908,37.7733,54.8269,50.7779,2097,46.1406
gfcE,49.0572,49.7047,27.6185,38.6863,30.5444,35.6279,38.9693,48.5407,46.9394,1140,40.6321
ggt,93.6182,95.1025,81.1321,323278,353136,251.89,143693,150459,181955,1743,186029
ghrA,82.4804,75831,82.3892,133786,120612,80.6104,65.2535,60.0759,76.8463,939,86.4316
ghrB,284909,322983,342116,334.28,306089,251837,318949,227.62,312667,975,300161
glcA,75.8594,80531,59.7579,93.5028,91.4313,81.5175,82.6255,110225,96.9907,1683,85.8268
glcB,91.5588,81.7604,55333,914.8,874369,478119,93.3915,113997,107568,2172,312322
glcC,85.6898,86.6176,66.3217,82.7629,64.3676,61.2375,273048,130099,155265,765,111712
glcD,73.3814,71.0621,53.6147,779364,787508,476006,81.3062,104531,104.77,1500,281283
glcE,62.9521,61.0225,64.0723,164992,129767,120098,70.4477,90.7544,81.6162,1053,93.9691
glcF,73.5959,79.8872,59.2368,370.14,322844,210033,77.6575,100505,87.5466,1224,153494
glcG,77.3711,73.0501,75.9642,1110.4,1044.75,482627,90.8576,96.1437,128456,405,353.29
gldA,51.4345,38413,29.0081,47.9676,52.0894,34.3859,62.3341,75.8808,63.6475,1104,50.5734
glf,107868,120819,166226,194897,185738,123538,123757,82.1949,90.8201,1104,132873
glgA,107035,112898,110785,227632,255698,170182,144.67,135254,169.9,1434,159339
glgB,114652,104881,101269,206545,172886,154956,146.83,125291,148784,2187,141788
glgC,203128,229056,288197,631.61,692048,454599,339811,191.43,324371,1296,372694
glgP,124346,128.99,144638,301694,282542,193488,190001,138501,169076,2448,185.92
glgS,127829,145765,167384,793716,600204,435137,532.95,229931,309.25,201,371352
glgX,94.8092,96.8199,92.2361,131088,129624,116.38,109893,125789,120753,1974,113044
glk,131657,142751,171906,100129,84.1077,90.1826,69.3301,73.8463,73.5794,966,104166
glmM,158849,179356,260998,208.88,192291,121.94,178793,93.7316,154.62,1338,172162
glmS,335459,344475,518215,439727,453.3,265072,380904,182555,411219,1830,370103
glmU,314882,323795,468882,536743,533742,296839,439402,169288,417312,1371,388987
glmY,48.9906,35.4282,17.6004,90.7904,74.55,54.5575,107509,50068,55814,184,59.4787
glmZ,160562,164034,325064,384951,277.81,235231,467696,179058,216075,207,267831
glnA,1117.31,1127.31,1594.48,5143.97,4245.62,2116.47,909783,378519,1755.81,1410,2043.25
glnB,50.2873,55.1527,92.3458,63.0766,81.4462,70.7973,56.8696,46.9231,53.8123,339,63.4123
glnD,86.8779,89.3228,123982,172304,164348,121559,105615,74456,117536,2673,117333
glnE,100692,96.9255,95.3721,96.3753,93.4709,86.4684,99812,106025,111918,2841,98.5621
glnG,124383,109841,166262,524859,451503,260068,185535,110027,260578,1410,243673
glnH,915226,873814,1198.95,6926.83,7029.52,3448.6,1039.29,206778,913.52,747,2505.84
glnK,66.0247,60.4355,73.7705,164098,130.21,141254,82.5845,80.6208,116793,339,101755
glnL,95.7784,79.4127,104693,306107,270827,153848,108648,92.71,162669,1050,152744
glnP,130448,119392,127849,206.54,171865,97.2039,83.4398,56.1591,85.9909,660,119876
glnQ,112211,110475,198827,220891,237158,122089,111529,63.0732,106346,723,142511
glnS,180466,216626,349781,169161,164877,114762,105.72,74.1242,98.3639,1665,163765
glnU,742399,859622,1808.75,884274,649515,503083,298402,173605,207197,75,680.76
glnV,182329,199623,271072,196.01,152413,130771,183288,100314,187378,75,178133
glnW,0,0,0,0,0,0,0,0,0,75,0
glnX,0,0,0,0,0,0,0,0,0,75,0
gloA,126.25,131331,242533,282109,310775,204471,74.9868,58.5566,98.0345,408,169894
gloB,103014,109822,174442,226496,222851,156.9,131718,64.7475,84366,756,141595
glpA,256579,274052,537426,46.0451,42.9668,44.1994,49.7574,55.7614,59.8083,1629,151844
glpB,158755,157768,256593,43.3546,49.1296,44.7807,43.3074,55.5188,51.6921,1260,95.6554
glpC,291676,284195,523884,38.1518,45.4789,40.0121,50.3206,51.9283,50.3754,1191,152891
glpD,904106,1024.15,1964.49,301.94,255968,168022,169144,128624,176672,1506,565903
glpE,121143,138.67,176614,148663,146.82,124.56,171487,146311,121905,327,144019
glpF,756444,726851,1431.03,205757,193323,112385,224711,115211,199019,846,440525
glpG,98144,102065,93.0969,79.8082,86.5552,85.8105,99.8587,118584,116591,831,97.8348
glpK,4695.91,4792.1,8130.76,1152.89,1003.19,516599,800492,264511,933274,1509,2476.64
glpQ,317255,333632,585685,58.4768,75.7658,62.6748,59.3828,63.3841,50.5635,1077,178536
glpT,1362.38,1523.74,3388.6,127473,112582,93.1408,147966,79.0418,106592,1359,771.28
glpX,332325,354704,618403,290982,240.57,152593,138209,98.8681,148093,1011,263861
glrK,50.8436,46.5528,35.9074,46.7939,46.1821,50.4208,44.6105,49.4817,46.3677,1428,46.3512
glrR,76.5715,81.7231,95.9547,81.4625,84.4399,68.4537,54.3109,51.4336,62.5539,1335,72.9893
glsA,73152,75.3973,50.5228,98.2989,110267,88.3018,99.0936,86.5298,89.0719,933,85.6261
glsB,68.0689,63.4438,75.4984,56.5858,53688,70.4514,50.0936,63.3712,72.3018,927,63.7226
gltA,160181,152308,221111,1696.3,1456.88,859823,459056,155694,399492,1284,617873
gltB,66.5038,62466,68.4815,150914,148976,100875,92.7459,83.8577,129404,4461,100469
gltD,58.1669,57197,53.6322,74.8743,98.5271,74.2406,78.7998,83.7717,107227,1419,76.2707
gltF,56.1914,53.0943,52.2107,47605,39.0803,52.3385,70782,82.4911,52.2851,765,56.2309
gltI,125746,137675,190999,408906,384806,259587,287702,104794,208416,909,234292
gltJ,52.3012,44.0832,22.8232,52754,55.5352,50.6079,60.2922,55.2833,65.1025,741,50.9759
gltK,67.1357,68.0268,70.8999,58.4072,41.1646,62.5648,52.1552,61.3257,53.4509,675,59459
gltL,57.1827,59.2026,59.9717,61.6675,58136,63.2557,42.0259,67846,48207,726,57.4995
gltP,94.3623,83.4653,68187,116582,108809,99.5797,127.39,116.5,132969,1314,105316
gltS,112.83,115353,104876,81.7264,86.3267,106871,176399,150588,147454,1206,120269
gltT,0,0,0,0,0,0,0,0,0,76,0
gltU,0,0,0,0,0,0,0,0,0,76,0
gltV,1571.77,1437.42,2189.76,2224.46,2103.4,1293.54,1298.12,563256,1409.96,76,1565.74
gltW,0,0,0,0,0,0,0,0,0,76,0
gltX,121647,137908,195416,140.51,124569,91.4287,100396,70.4384,96.2887,1416,119845
gluQ,68.5981,64603,96.0712,120.02,121984,100698,90.9641,67.8764,60.6402,927,87.9394
glxK,52546,54.0701,48.0402,45.7723,37.7504,70.7821,60.8542,70.8221,66.5031,1146,56349
glxR,77.2275,74.8135,54.2406,72.9794,91.6321,89.5259,50.7311,84.1947,68.7173,879,73.7847
glyA,371.45,399.42,744912,631.05,555492,293.71,744227,204747,769.5,1254,523834
glyQ,539455,544097,764245,599527,556509,320854,406053,209706,358565,912,477668
glyS,232548,223557,286213,209665,216811,187014,186876,161597,180433,2070,209413
glyT,1561.65,2439.42,3058.56,4610.7,2874.75,2081.56,4766.61,1622.63,1945.85,75,2773.53
glyU,53.0348,61.9547,60.7821,51.9223,92.6838,38.9817,92.8825,73.4511,63.9122,74,65.5117
glyV,0,0,0,0,0,0,0,0,0,76,0
glyW,0,0,0,0,0,0,0,0,0,76,0
glyX,0,0,0,0,0,0,0,0,0,76,0
glyY,27623.7,32406.4,56353.7,62693.7,50562.5,26324.7,25679,6780.08,21144.1,76,34396.4
gmd,45.7999,41.6275,25.3356,43.4758,44.0438,38.9762,55.6564,59.2272,53.8347,1122,45.3308
gmhA,262867,232845,345226,291119,332284,157834,126383,79.7144,174.57,579,222538
gmhB,50.0367,49.3735,61.2211,79.7569,78466,53.6865,87.6044,41.7975,51.8462,576,61.5321
gmk,327441,345318,476314,553368,492074,340241,298343,193059,285416,624,367953
gmr,52.5216,59.6599,41.2192,74.2744,81378,66.9308,41615,46.3563,41.3687,1986,56.1471
gnd,556339,596348,976171,748.48,800189,478.93,318722,140272,250281,1407,540637
gnsA,61.3215,59.2842,97.1955,65.2856,40.4279,49.7353,39.9835,40062,26.4044,174,53.3
gnsB,108194,121862,175779,419556,247621,236077,287592,130775,171629,174,211009
gntK,104293,87.1018,52816,64.8601,60.6189,79.9834,115571,145283,118749,528,92.1419
gntP,91.5717,101323,108966,79.4254,68.4342,95.3823,105899,109467,96.2188,1344,95.1875
gntR,145731,139.53,171967,165713,158558,128593,155102,134919,168368,996,152053
gntT,76035,68.3716,56.1466,66086,71.1725,86.2109,97.8864,105859,100141,1317,80.8787
gntU,86.1977,84.6694,54.3368,60.7923,64.3908,85.9587,90509,115322,107922,1341,83.3443
gntX,116636,127561,147299,169741,149379,110663,144236,137604,160218,684,140371
gor,120.74,115156,89.0932,110258,110612,102253,118266,135929,122545,1353,113872
gph,343045,383847,624607,559709,547048,302375,271893,145.41,217915,759,377316
gpmA,238364,263899,382768,428174,393295,285.63,163746,83.1939,151279,753,265594
gpmM,233776,218058,292988,138725,150478,117851,128471,146784,138365,1545,173944
gpp,70.6953,56.2951,74.3891,72784,63.8312,52.5259,76991,82.53,95.2725,1485,71.7016
gpr,119.05,118841,135498,132071,117.41,103193,180122,132952,158624,1041,133085
gpsA,201.64,204652,276046,265649,309654,207808,250.23,161881,233428,1020,234554
gpt,636996,801252,1591.8,639829,591952,431.88,255297,183113,324426,459,606283
grcA,56.0517,42.9065,56692,64.3855,78.7713,57.3925,99.5372,53.5797,92549,384,66.8739
greA,63.3784,75.0892,56.1999,62.6892,50.1408,73.7793,75.2103,92.0607,77.9043,477,69.6058
greB,110045,100019,109005,144.29,107287,123611,105962,132812,129746,477,118086
groL,296816,280.93,344209,749361,732169,416847,669294,234759,441.24,1647,462847
groS,956532,893734,1249,2539.91,2643.9,1349.7,2561.1,518073,1524.56,294,1581.84
grpE,1194.22,978893,1418.72,1593.77,1746.77,813529,1116.76,193814,426087,594,1053.62
grxA,60.3708,78.8542,103207,80.9372,40898,76924,43.8597,47.8479,41.3766,258,63.8084
grxB,260143,290.52,395091,1285.65,1125.19,652251,703681,186951,508401,648,600875
grxC,356979,369262,441.22,532983,550614,331506,420767,210815,332459,252,394067
grxD,2366.17,2538.11,4156.14,4237.8,4548.65,2137.96,1649.68,552486,1091.51,348,2586.5
gshA,143635,168115,243122,633884,675096,374467,300129,110507,237712,1557,320741
gshB,407134,451128,704715,678.23,684214,481078,345684,182216,384925,951,479925
gsiA,61.8129,65.8569,55.0702,62.5561,68.9543,61.4529,73.3432,56.9712,58.6135,1872,62.7368
gsiB,58.2535,57.2988,45.3587,40.8138,44.7938,37.7122,48.6368,51.4001,47.9404,1539,48.0231
gsiC,48.8042,47.0567,37.7021,33.3746,25.7777,43348,48.6907,55.7485,58.2476,921,44.3056
gsiD,56.1442,50.8201,34.3259,32.7881,40.8801,43.9023,48.5278,52.1907,50.9696,912,45.6165
gsk,136129,170826,246642,123147,127618,106102,91.7212,90.5955,106653,1305,133.27
gspA,43.2171,33.2835,33.4128,31.8199,31.8226,54.9457,56.3937,72.9062,60.4861,1470,46.4764
gspB,50.3713,35647,48.4057,48.5253,44.3841,40.6598,59.0737,62.1479,45.0429,420,48.2509
gspC,38.6265,40.3826,36.3799,25181,40.9482,56.4203,56.1887,63336,39.9093,816,44.1525
gspD,44.2407,37.3398,33.4404,42341,36.9192,43.9566,54035,68.6182,60.6799,1953,46.8412
gspE,47.0463,35.2375,38.4839,34.2676,30.0222,52.8658,53.9575,65.9546,64.4642,1482,46.9222
gspF,41.7007,31.2394,35.6223,33.7737,51.1277,41.5467,55.3203,68.7795,53.3967,1197,45.8341
gspG,50.2613,40397,35.7366,39.6659,31.3178,48.4726,51.2876,85.3244,51.8302,438,48.2548
gspH,38837,25283,20.8137,28.8251,27.9309,37.3308,47.4985,57.3825,32.0599,510,35.1068
gspI,38.7721,30.1322,21.4185,32.2618,30706,35.4094,49.8933,81.1578,69.7092,378,43.2734
gspJ,52.0399,46.5385,30.9038,61.9351,60415,61.8139,72.5592,73.7418,71.9307,588,59.0975
gspK,50.9766,44.1896,34.9225,35.3123,41.4633,41.7453,64.6545,77988,60.4234,984,50.1862
gspL,53.1559,49.6646,50.0795,57.5505,60.5846,69.7867,73.3072,82.2319,78.4768,1164,63.8708
gspM,55.2159,46.6714,26.8704,57.8543,66.2336,78922,60.0534,73.5804,85406,462,61.2008
gspO,43323,35.3949,41.9271,133545,135138,103643,78.1339,66.8518,64.5747,678,78.0591
gss,160887,146659,192877,187263,187586,152917,138394,118277,149877,1860,159415
gstA,83.5835,95.8681,92.9265,169535,202.27,109674,86.8638,69.5245,101235,606,112387
gstB,92.0312,89344,142325,108972,74047,112257,81.5482,54.3641,76.7238,627,92.4014
gtrA,117913,147.02,211.14,139902,114334,93771,92.5955,73.4293,80.0349,363,118904
gtrB,328313,395899,545.02,309078,271717,183415,226162,93.7255,137476,921,276756
gtrS,201505,256477,380901,158.15,145363,113307,185513,91.1568,106.52,1332,182099
guaA,522.36,543392,1014.62,473532,419816,227043,601.46,193474,659287,1578,517.22
guaB,198344,217933,398094,299035,236.76,153.14,283688,135979,336762,1467,251082
guaC,431483,410324,541124,262423,234314,151859,105579,86.7129,107818,1044,259071
guaD,93887,95.1336,85.0508,86438,63.6832,102886,90.2344,110317,83.1246,1320,90.0839
gudD,82.8595,75.8552,65.2041,62661,69.7676,81.6564,69.4444,92.8578,90.8919,1341,76.7998
gudP,64.5848,74.2824,74.0671,49.7582,58.7505,78.2032,69.8197,101885,85.0921,1353,72.9381
gudX,70.0099,72383,71.3757,52.3213,48.1291,80.5379,70.0695,90774,82.1252,1341,70.8584
gyrA,675003,764735,1171.5,795733,782075,424004,260042,106533,228608,2628,578693
gyrB,296552,341624,519184,389863,401387,281226,296965,193.1,315524,2415,337269
hcaB,41.1073,37.1833,33.6373,34.1095,31.7978,43.2875,41.6527,46.0059,44.5442,813,39.2584
hcaC,34.1949,19.4151,17.9355,21.8576,32.3235,50.6836,34.9906,45.5364,33256,321,32.2437
hcaD,47.5586,44303,36.9402,45.5477,46.9256,38.8456,52.6754,53.2482,48188,1203,46.0258
hcaE,49.5255,41.3927,36.5907,47.9576,32.9256,52.9488,39.5718,52.6687,51.9878,1362,45.0632
hcaF,36982,33.5401,25.9993,33.1534,31.1739,44.2424,51.3584,46.6246,35.1491,519,37.5804
hcaR,61.2527,58.2086,88.6451,136306,114873,94.4067,171028,78408,76.8914,891,97.7799
hcaT,50.7247,52.2182,50.5025,59.7879,77.2865,69.1304,68.2331,58.3728,55.5924,1140,60.2054
hchA,54.1961,46.4115,32.0975,147447,189278,136513,73.9827,54.1361,60.11,852,88.2414
hcp,50044,50.0969,41251,30.9248,30.5337,38.1828,42.5443,45.3659,42.5087,1653,41.2724
hcr,45.4374,48496,33.2351,30.3422,24.3193,33.2226,35466,45.7615,33.8867,969,36.6852
hda,65.6892,64.2879,71.2484,59.2543,71.1463,61.3091,55.2835,55205,66.2169,702,63.2934
hdeA,157631,181131,250152,10671.4,10274.4,4856.61,6022.26,1544.27,4557.85,333,4279.53
hdeB,121705,125088,89.1323,2581.42,2535.74,1369.11,1443.67,479501,916974,327,1073.59
hdeD,128.85,119142,71.5893,592708,486458,339311,420128,207724,397604,573,307057
hdfR,178343,176785,293433,254957,236994,199728,206159,138334,199154,840,209321
hdhA,160091,141778,237076,708676,795.27,451478,173426,85.3276,115774,768,318766
helD,56.9947,63.9662,67.4135,62.2694,63.0705,45.7613,50.8227,50.5829,58.7201,2055,57.7335
hemA,71.8589,81.9501,90.1723,107383,86.3219,68.7542,47.2117,40.0406,57083,1257,72.3084
hemB,362961,405492,651.57,498.25,509187,259766,247594,121542,216067,975,363603
hemC,116329,98.8595,149165,177.34,147111,118571,157409,96.5259,145313,942,134069
hemD,119995,99.7671,145437,198842,161859,127688,161307,107956,151359,741,141579
hemE,63.7398,54.5503,60.6474,77645,84.8759,58.0722,66.5057,55621,69.7847,1065,65.7158
hemF,65.6822,67.4166,68.1678,70.1628,62.9193,61.6674,75.9044,64.5558,69.5162,900,67.3325
hemG,171273,173315,236592,331049,315005,192733,205254,91.0565,177697,546,210441
hemH,70.8732,87.7028,89.8641,76.8485,78.7085,91.9014,63.8013,82.8137,76.7553,963,79.9188
hemL,129106,152497,218398,141755,121909,86.2017,116.08,78.6527,89.1364,1281,125971
hemN,292281,327624,485928,415326,380649,220191,277634,140624,212429,1374,305854
hemX,113201,99.9377,125271,205073,177052,129834,144453,108259,142.56,1182,138404
hemY,93.2886,96.2915,110474,160076,120032,102083,125976,97.2559,125985,1197,114607
hflC,94.6975,97.2242,112604,118185,127.74,107234,120519,105661,110389,1005,110473
hflD,370222,433939,701445,517036,448146,191232,248721,86.2417,254261,642,361249
hflK,139871,146.17,214327,185881,216617,146888,148483,118.13,159688,1260,164006
hflX,145142,134491,198876,225739,222401,154118,170913,125518,172787,1281,172221
hfq,806706,791696,1095.21,1118.56,1216.8,720695,827629,218636,523022,309,813218
hha,152324,186775,271105,407338,350.92,264492,177.21,114701,180789,219,233961
hicA,81762,87.0144,54.8894,98.1562,86.4404,89.9619,56.8277,63.6721,90.0858,177,78.7567
hicB,63.3803,58.2358,75.0725,38.8592,68.3203,62812,71.7603,67.0134,52.8201,417,62.0304
higA,76.6151,83832,75.5039,61.6939,68.3203,77.2007,94.0723,104202,82.3086,417,80.4166
higB,64.8256,85.0525,98.2394,63.1094,31.2643,78.7555,88.0784,103141,75.0715,315,76.3931
hinT,180728,162771,226893,341069,387384,199361,111994,54.6779,135504,360,200042
hipA,61.3215,65.3542,63.3715,76898,73.5083,69.0746,63.1032,68705,66.4919,1323,67.5365
hipB,336924,415859,563.33,827138,803562,591623,559433,191611,344148,267,514848
hisA,39.8839,37.2736,31.6924,41.6504,36.6974,39.7128,40.6611,47.4773,48.7049,738,40.4171
hisB,68.8432,50.1043,69.4055,52.4,63.2311,64.9316,71.8128,61.4455,72.6253,1068,63.8666
hisC,45.7478,39.3291,41.1571,35.2514,49.0967,56.3463,47.2715,52.3848,49585,1071,46.2411
hisD,46.7547,43036,55.56,54.6607,72.7703,61.0971,68.0843,55.6986,62.6458,1305,57812
hisF,63.2945,50.0616,48.1626,63.8548,70.8425,62.3708,70.0125,60.3891,55.8253,777,60.5349
hisG,89.1888,95.2747,139134,141068,141666,121668,147338,79.2276,110805,900,118375
hisH,34.7592,30.0601,31.9646,23.4611,36.3031,29.6763,33.6134,48.9463,34.2966,591,33.6756
hisI,74.1469,65.4314,101129,75.6112,90517,83.1458,72.8639,58.5566,61.6028,612,75.8894
hisJ,118806,113354,133.96,342003,314664,187152,185.84,80.9869,151869,783,180959
hisL,0,0,0,0,0,0,0,0,0,51,0
hisM,63.1176,55.3499,59.7208,70.3632,71.1295,49.8879,62.7779,58.59,57.4815,717,60.9354
hisP,45.7931,50.3482,36.0295,48.7781,40.2164,65.8922,40.7192,56.1796,54.9942,774,48.7723
hisQ,58.2867,60.8951,43.4729,92.6459,87.2908,73.2289,87.1151,61.4167,76.7106,687,71.2292
hisR,205467,193508,329455,392686,278638,265238,240577,177.47,328.17,77,267912
hisS,110764,132876,165099,137443,109793,89.7748,93.7478,63.9938,82.8789,1275,109597
hiuH,47.9908,59.3499,39.9811,31474,38.6556,54.9059,58.9175,56892,65.6059,414,50.4192
hldD,307725,356256,500793,473589,433716,294587,385953,194453,317328,933,362711
hldE,132821,133929,182173,112185,100072,85.1313,120471,114268,127213,1434,123.14
hlyE,51.2357,45.4789,32.7477,46.7093,35.4808,24.9244,38.0502,39.9343,27.2628,912,37.9805
hmp,61.1156,57.8615,61.1802,56.5264,53.3048,59.0978,45.9572,54.0941,46064,1191,55.0224
hns,165005,215078,238149,150914,102798,122911,96.1712,66.5348,102162,414,139969
hofB,52.5171,46.9298,52.1832,65.8093,43.6482,53.9467,59.1463,69.1492,64.0545,1386,56376
hofC,55.0517,48.9477,56.9806,53.0464,46.6333,62.0571,65.1475,64.5309,64026,1203,57.3801
hofM,56.8403,49.5936,39.9043,50.5447,46.8964,60.5037,76.6208,90.2353,88.1801,780,62.1466
hofN,53.8267,48.5527,41647,47.6414,56.6665,62.6076,82.1134,92.6937,74571,540,62.2578
hofO,50.1974,43.5334,40.3891,33.3351,40.2767,41.6017,53.4096,94423,72.9266,441,52.2325
hofP,55.2651,45.4574,35.0946,40423,18.2375,44445,59.8129,74.6099,90.0858,405,51.4923
hofQ,75.13,66.1425,52.8564,51.6399,61.3173,80.0903,90.5184,97.9743,96.5204,1239,74.6877
hokA,113425,125.01,88.1937,40.3988,45.9769,86728,111213,122633,107.75,153,93.4809
hokB,23711,16.2373,11.9943,15.5917,8.20687,32.3081,25.7051,38.6925,19.8189,150,21.3629
hokC,43.2858,33.2424,48.2125,31.6639,43678,42.2328,55.8806,42.9516,46.8093,153,43.1063
hokD,86086,78.9823,126863,138141,179243,93.1964,125731,80.7079,96.1492,156,111678
hokE,56.9128,60.8665,57.6199,41.4906,32.1838,82.9572,56.4284,72.8571,47.6925,153,56.5565
holA,396154,529697,1110.52,612856,616708,326256,311648,146103,307182,1032,484125
holB,55.3419,54.7421,48.6934,50.5319,52846,54.8801,29.6918,39.9361,45.5807,1005,48.0271
holC,148746,137139,195718,221987,194478,153328,146498,110799,139085,444,160864
holD,76.1335,83.4013,86.9155,79.4921,91.7538,93.6466,85.0356,88.7872,103142,414,87.5897
holE,266788,321893,517159,429568,367.71,313.19,376649,125492,183681,231,322459
hpf,543377,628797,1175.07,1843.4,1920.43,1143.84,1151.08,385241,895227,288,1076.27
hpt,94.78,91.9117,155792,123502,98.9016,93.0393,93.3424,69.1939,91.0923,537,101284
hrpA,75.3989,70.3137,96.6185,83677,81.5551,85.6156,66.1246,63.7141,73.6404,3903,77.4064
hrpB,46.5589,40.5343,38.6484,45.1665,50.6597,52.3273,53.8109,62.0612,56.8875,2430,49.6283
hscA,73778,72.6027,106044,69.9444,78.4774,62.4618,56.5145,54.1336,67.3088,1851,71.2517
hscB,80.9302,63.9996,86.1222,70.5772,67.1409,52.7734,52.3068,55.7035,58.1367,516,65299
hscC,56.2206,61.5179,66.8625,46.9872,40.0977,59.5919,63455,64.4122,53.7765,1671,56.9913
hsdM,171315,164.04,233098,211602,179401,158565,137171,115842,141163,1590,168022
hsdR,220115,236296,341.7,290693,253705,196153,260195,135709,177671,3513,234693
hsdS,153326,170486,238339,152684,127704,151036,143727,115151,101807,1395,150473
hslJ,66.2504,79.2559,72.7316,208522,128466,112931,92.7379,63885,75.7104,423,100054
hslO,190941,240332,324625,392074,382734,249412,372283,163533,281326,879,288584
hslR,344743,379916,549144,834441,821562,491682,574444,231229,510934,402,526455
hslU,224155,193877,266496,512.2,515306,256.5,389402,143675,251388,1332,305889
hslV,143545,114131,113845,268986,238788,167103,167957,120058,161086,531,166166
hspQ,69.9991,60.8223,80.3395,81.4259,86.8247,56.9673,74.0681,53.5948,64.1649,318,69.8007
hsrA,72.5295,66.4682,68.9171,94.0558,98.8913,78.7016,88.2819,86.1683,78.5412,1428,81395
htpG,477294,488724,691.45,1054.36,897222,661854,1053.15,321971,500372,1875,682932
htpX,307.79,357201,481.61,342443,313241,222399,264292,123808,223376,882,292907
htrE,51.7858,43.5656,31.5786,32.3435,32.5594,47.3447,52.1702,64289,52.1166,2598,45.3059
hupA,2372.22,2485.19,5005.99,3035.13,3127.5,1697.82,2442.78,519.68,1491.36,273,2464.19
hupB,590304,590137,1031.38,796721,871577,389692,583675,162203,450429,273,607347
hyaA,47.9503,42.9555,33.6035,41.2038,39.1327,41.7617,40.3748,39.7919,34.8992,1119,40.1859
hyaB,44265,50.1526,39.0117,31.5671,39.8972,39.5554,36.8643,45.8914,43.3105,1794,41.1684
hyaC,46684,41.0789,31.2564,23.1233,34.7749,40.0917,39.4242,45.5421,37.9811,708,37773
hyaD,50.6841,61.5234,38.8592,38.6384,37.0864,41013,39.9147,42.2501,48.0304,588,44.2222
hyaE,45.9527,35.7278,21.6439,25121,15.4265,30.6539,24.1589,37.8659,33.1895,399,29.9711
hyaF,39.0943,45586,37.9541,23.3642,32.5897,34831,36.8304,44.8814,37.4832,858,36.9571
hybA,68.9634,69.0949,71.4557,53.6537,52.5625,73.2999,84.4153,109175,85.9785,987,74.2887
hybB,71.8799,77.7111,59.9717,48.0334,62.2004,59895,75716,97.6468,101318,1179,72708
hybC,91.2985,84.4572,76.1261,70.5864,73.2756,78.2783,89.0842,115751,100791,1704,86.6276
hybD,67.0201,78.4369,64.3333,29.6986,39.7909,50.8164,73.3221,86.0454,72.8876,495,62.4835
hybE,82.0128,82.7686,57.3962,32.1127,53.9453,56.3952,58966,97.9653,80.9666,489,66.9476
hybF,62.0387,61.7905,58.3935,54.2194,45.2509,55.6687,63.4783,78028,79.4177,342,62.0318
hybG,67.9708,82.8551,77.3129,42.9377,64977,106118,102335,109267,98226,249,83.5556
hybO,95.2977,98.1382,83.4459,78.2274,73.7078,77.7489,100076,123327,110373,1119,93.3713
hycA,57.0741,75.2014,68.1497,47.7298,49.1042,58692,80.3737,94.0526,67.8568,462,66.4705
hycB,47.2937,48.9273,39.3932,32.7558,32.1838,55619,45.8823,68.9934,58.9532,612,47778
hycC,51.6215,54.3439,36.3375,50.7472,43.5082,68.5874,59.0921,78.1576,78.1039,1827,57.8332
hycD,51964,58.2229,40.8898,40498,40.7298,56694,64.0449,73.5139,62.4458,924,54.3337
hycE,52.7867,49.6419,47.0304,39.6632,38.3604,64913,51.4689,75.3342,68.1175,1710,54.1463
hycF,61.0957,51.7145,26.1755,47.9935,42427,53.1243,49.0884,73.6322,59.9742,543,51.6917
hycG,53.4168,53.3533,45213,51.5519,49919,57092,43.9841,73.0923,51553,768,53.2417
hycH,56.0995,37.9963,38522,39.02,37.2262,58.9563,52.6175,66.7216,62797,411,49.9951
hycI,67.9614,80.7606,89.7666,91.1528,95.9584,80.8437,125.82,96037,83774,471,90.2305
hydN,61.5538,64.0375,49.7493,47775,47.9622,50.6999,63.1831,67349,74.2184,528,58.5031
hyfA,48.9183,47.6408,48.0356,35.4112,45.8151,50.7848,38.2483,62.5099,55.3196,618,48076
hyfB,53.9107,57.6913,34.9315,42.8599,49.3876,57.1501,48.2001,57.7816,49.7279,2019,50.1823
hyfC,56.9876,54.1797,38.9057,38.4155,40.0697,48.0775,52167,70.4543,39.9114,948,48.7965
hyfD,47.1835,49.1497,39.9811,32.7148,36.8821,48.8788,46.5671,60.0306,45.4182,1440,45.2007
