gene,BB9,BB10,BB17,BB19,BB20,BB21,BB11,BB12,BB18
aas,6.224669308970333,6.297152890370045,6.297007949274849,6.04702136530601,6.0384098420466135,6.296795097983456,6.29525098624346,6.598524509987132,6.568365066149953
accB,9.014271594596202,19.01905042007805,19.84883838241653,18.11423544467733,18.09717312923112,17.182083929510725,17.82858899133768,16.890952965294954,17.676149923188262
aceB,18.39159602910764,18.04091040533407,18.45741294430654,13.20608334730083,13.268736432313702,12.110659476202052,12.100514514317238,19.902991828531526,11.965979035347232
aceE,19.13563915339084,19.125468967000984,19.91560224294749,18.561403560222782,18.598575963868203,17.638556114713904,18.36863434224309,17.076878212664255,18.49926976511024
acpP,14.170504092198069,14.306246857595443,15.209449557835072,14.45915621998665,14.496604154575603,13.90505788558226,14.06600507565491,12.288416243000686,13.650973184182167
acrZ,10.158887345579014,10.746396750977958,11.730385220321375,11.420323438526188,11.386730128804643,11.173358584050318,11.389475392866748,10.491843077579324,11.123811021465396
agaB,6.1458058248905365,6.54472956532297,6.175666308778534,5.507090560070502,5.634189559368114,6.024658768431441,6.421214882076658,6.757423346821803,5.958617671494154
agaR,6.444224769558635,16.359921103471947,6.449622448511009,16.69381361776131,16.632682867102677,16.687676395831136,16.945923862301242,16.849588358495275,16.913590683673352
ahpC,11.941363115514326,11.97909646064566,12.601485284789495,12.735183667465826,12.639912698453823,11.543355713411152,11.889066601578902,19.35749831147428,11.174526265266431
ahpF,17.8123528173854,17.82186115876762,18.19668856577005,8.599987205994308,18.312555065011207,17.837603296775246,17.86595674177221,16.6849951108946,17.457637380991763
aldA,17.36900087087394,17.432166693475644,18.24123372309813,19.73577415687179,19.625715976625948,19.02816237949287,19.416319232390148,17.452386043292233,18.568234483703744
alr,6.426237913614442,6.260801009103948,6.408718653362973,6.119422582647885,6.166576872111938,6.3740900690618,6.468358489286459,6.404921850362706,6.573112420310464
amiC,6.276677177333251,6.242600600625238,5.98011215188859,6.11562425384449,6.2826584909168215,6.4959173691485885,6.408618463200195,6.588123946522736,6.623937075671693
amn,17.03574417512186,17.022996254201086,17.488350123703327,17.807499576783638,17.515337948920155,17.11264312484194,16.76634773215984,6.329475255205547,16.727003060591468
araC,6.595661789735905,16.74848115009545,16.77264963784569,16.73012513133227,16.66950794247119,16.09710624311015,17.253912100563348,6.434416394432181,16.60411882630532
arcA,18.012138917986928,18.330369848224404,18.969720960267463,19.764243124941505,19.731449968222083,19.131585706513505,19.053141041494506,17.60570376424338,18.449930473789426
argV,10.4216230572218,10.609261861581905,11.41967055670885,11.282874132800549,10.94545846809926,10.188403397408244,9.974070367024026,8.434503133048075,19.650632820964347
argX,17.48281583305388,17.744242577109215,18.245455218548816,18.42302560753581,18.50602471149557,18.088488060019937,17.382860403868648,17.1394114566357,17.672010905428216
arsC,16.65120588891464,16.836629822460537,6.604258173796172,16.615256041843722,16.683734828010685,16.725273050649673,16.83707351247379,17.23840473932508,16.971049518754107
artJ,6.26958116171435,6.381975478557301,6.288666781661956,6.495576851663751,6.650516143779903,6.245548903430134,5.861464129184214,5.975449058542892,5.84981916146574
asd,6.878970510151082,16.73925321256728,6.557913958964917,17.07116903390969,16.906150742947982,16.962624932457455,17.111461739857724,16.967440179084377,17.2908108442301
asnV,17.285546712331335,17.156586777835045,17.04192646688482,16.90940091634686,17.602423404580524,17.138041760302343,17.30677374464288,17.598001597724878,17.005514904414575
aspA,18.88452530499007,18.8150892927257,19.74680787666723,19.215916866021207,19.182573786753096,18.559388294315195,19.574292318524808,17.641360311149874,18.325797326866414
aspT,10.068415543690978,10.161509832174143,10.881572857474032,10.64771923926361,10.773534863100512,9.81635970669391,10.867216952731734,19.02972937285004,10.245136712790554
