gene,BB9,BB10,BB17,BB19,BB20,BB21,BB11,BB12,BB18
aaeA,5.542666652296753,5.876224694480826,5.189101053677985,6.17874053138423,6.258982412138361,5.921481557139668,6.56534126974821,6.308675771382576,6.2565898965704845
aaeB,5.627977385745804,5.436188496404479,5.397087596527098,5.493631323865059,5.6037509528524945,5.71686197863215,5.840626881093319,6.1328194648201215,5.896501944676451
aaeR,5.645505689567414,5.758852132644004,5.107189869480961,5.824890023979398,5.4877050008927934,6.033795190870678,5.710781642545311,6.302439697035292,16.270368335507296
aaeX,6.081769951379313,6.043589483234429,6.030808364489216,6.358791837575775,15.68241857538735,6.129392245434465,6.042646525961204,6.134309256941667,15.79783881245481
aas,6.224669308970333,6.297152890370045,6.297007949274849,6.04702136530601,6.0384098420466135,6.296795097983456,6.29525098624346,6.598524509987132,6.568365066149953
aat,16.825256951514024,7.094341649635845,17.489338399963877,16.78633344874534,16.740689917065065,6.325805532676087,5.643414657534334,5.777093526984342,5.846573547034467
abgA,5.46356360750367,5.4378669008701515,4.751538703366708,4.699068506423506,5.496113969405628,5.4256774918622375,5.35840681204757,5.643244357359748,5.600406546108157
abgB,5.75287701551661,15.606405212697785,5.278895439920664,15.295087309477097,5.608702810427007,5.462386116144805,5.482441741949401,5.829694832142909,5.599097563537852
abgR,6.031763498807145,5.831689800235754,6.05986573796743,5.879953218223803,6.130677634860074,6.238637844723677,5.351755520354896,5.930685305000163,5.8856866130016625
abgT,5.663222207135109,5.618593998841717,15.075270217677701,5.107541416618908,5.3683772461200165,5.67094511324132,5.3735020553746216,5.759997338025122,5.427408392014989
abrB,15.64027318420396,5.5932880294433005,4.908846525408072,4.983431448866732,5.1263699559293565,5.219474455560741,5.347268789724038,5.534307551992722,5.450211596308955
accA,16.83722137882705,17.104905834096144,17.634881935568657,16.96074861594622,17.07178704972122,6.519576499658611,16.556670695483085,16.009303778324828,6.414720747863459
accB,9.014271594596202,19.01905042007805,19.84883838241653,18.114235444677334,18.09717312923112,17.182083929510725,17.82858899133768,16.890952965294954,17.676149923188262
accC,19.410186320725092,19.610559899489772,10.357672957211223,18.688888860914567,18.714902846104366,17.82888025646448,18.2227760390544,16.94301840759244,7.986638471730853
accD,6.875411480130765,17.002430474182493,17.38917756908345,17.06116020755569,6.516100268544256,16.627747605462297,6.304686257287879,6.1682107830625315,6.245545100594562
aceA,6.2708522044026775,6.080973111814072,6.266115625204227,10.685931390800897,10.51299718240519,19.438178635346983,19.247320268802888,17.34340261705982,19.268736158226865
aceB,18.391596029107642,18.04091040533407,18.45741294430654,13.206083347300831,13.268736432313702,12.110659476202052,12.100514514317238,19.90299182853153,11.965979035347232
aceE,19.135639153390837,19.125468967000984,19.915602242947486,18.561403560222786,18.598575963868203,17.638556114713904,18.368634342243094,17.076878212664255,18.49926976511024
aceF,17.691402757800102,17.63371188091183,8.39771741052135,17.412602923623407,17.233732008482793,6.525541167198955,17.413280831327477,6.403836915504057,17.556266543582993
aceK,5.886164791913773,5.505138271449914,5.613434409166111,18.031561216283276,18.032390168866524,17.42115260680397,17.530391095564863,16.64432104589421,17.393390457443985
ackA,17.187883628801693,17.217332970152363,17.99355208543313,16.87577334495126,16.874669229303567,6.5566378646116625,6.35814655394965,5.8887773374922725,6.359303287908443
acnA,5.9926211632376205,6.017140236461623,6.13304149001452,19.290527395156502,19.377513461151086,18.41769184397108,7.464831606379887,6.04357636044837,17.301076371950895
acnB,8.264724074238009,18.274041392883387,19.05592052845144,10.297902132026856,10.182940537281569,19.196265924655144,19.0268178863432,17.37534493964486,19.038691300300517
acpH,6.312806735419766,6.406341082247486,16.359560839295906,16.808951609585826,6.90026304356897,16.84313591111135,16.916672568348,6.476742964199596,6.587870505760199
acpP,14.17050409219807,14.306246857595445,15.209449557835072,14.459156219986651,14.496604154575603,13.90505788558226,14.06600507565491,12.288416243000686,13.650973184182169
acpS,5.179821530693385,5.270667225174298,4.131556560742951,4.599228515252646,4.4746047696475095,4.741051646178664,5.639246636441535,15.459431618637296,5.202476493940265
acpT,6.867402305727543,7.054631448782967,17.36842972762512,17.02374352611661,6.848622940429338,16.80132945017078,17.118251670855315,16.89465200297676,17.009216286585158
acrA,7.659425121425692,17.763614385255774,18.389559921937483,17.98480226894489,18.00582188879991,17.42979083801198,17.019905588597513,6.600806441383763,16.853065836332078
acrB,6.512979016058419,6.565897198417419,16.67581923840293,6.567858751993067,6.587792515029097,6.526275432879309,6.303658387839294,6.252667324508078,6.2565861227270965
acrD,5.922849578542963,5.992394568446813,5.681536409109876,5.5620317295608315,5.644427383921938,5.993115016554893,5.677341919650373,6.046685309792687,5.796740500705223
acrE,5.369867758100386,4.8405589068080905,4.743671142052246,4.690020327779546,4.8627142166006205,15.231183672553037,5.261162196429281,15.917535249949314,5.304080213280162
acrF,5.417184164500183,5.08317506610229,4.960266112271855,5.104793720428017,5.23438252172117,15.265615046484458,5.631244003933066,6.072161551589669,5.590221745469898
acrR,18.4218511589387,8.630521963471638,19.414024509878153,19.408319373681756,19.423526305339262,19.22319570061053,18.402116887430708,17.322227451225913,18.182898649816853
acrS,6.155692572760994,6.206012141301567,16.835643355843146,5.869096563660607,6.044098992461083,5.890011289134901,17.01006910480151,6.369879969051075,6.192787931491801
acrZ,10.158887345579014,10.746396750977958,11.730385220321375,11.420323438526188,11.386730128804645,11.173358584050318,11.389475392866748,10.491843077579325,11.123811021465396
acs,6.246751997520038,6.167996111675566,6.191692923213029,19.74301329406358,9.727750315399032,19.065550245056496,19.785715861121194,17.928003596975618,19.58696986091877
actP,6.077341283457582,5.85700560261981,5.754705818015004,17.010451615846165,17.075688051045105,6.625904598021624,6.977508904540138,6.536188146560721,16.879296060392985
acuI,5.621747136962367,5.496864959479279,5.66739827805425,6.027943583537252,6.011014749805969,5.94745109225133,6.019608518707269,5.85266807637808,6.03528518851296
ada,5.872309197298138,5.585470360200952,6.1172462082724905,6.126413323608876,6.287525855877413,16.355678006017527,6.025573690010762,5.918500729509373,6.281015682775773
add,6.0455893123088,6.0156826579504665,6.671151813825633,16.979358203850378,16.70098149404625,6.649317980314831,5.687248293703044,5.903096131053177,6.265391886142298
ade,6.610059233797144,6.6166973326458125,6.53035014991005,6.137366215273164,6.2316340060784805,6.565386970596458,16.978397650627805,17.126291074393464,7.025028794491522
adhE,10.025831668332026,10.085618513872149,10.754503400273327,10.085273269861746,10.0992294440584,19.19812126205335,17.975489756945755,6.486384548887476,17.972418928056317
adhP,15.684118508925003,5.500954980821648,5.584385307258411,16.706023784079136,16.744019148995616,6.501319711817947,5.956609641488169,6.108053936023587,6.280212139536856
adiA,6.477173785753117,6.563566958121326,6.212182155949567,6.402599400674381,6.30812420277038,6.577067731420442,16.61456607349505,16.849588358495275,16.78552909652577
adiC,6.098215304126374,6.141610582654669,15.981009753070461,5.769832555390503,5.938502226959065,6.258221159114708,15.790959333698824,6.643674398746497,6.515537427405869
adiY,6.6142931689530196,16.728425437035252,16.6646833809833,18.413846888182942,18.516661868466265,18.254392011405898,16.65483179039473,16.728784132987705,6.40129596501108
adk,18.106230648857764,18.231418082544305,18.575014744618464,18.49961624441322,18.21892265435338,17.913409534910546,17.247083791443856,16.683680008120838,17.30328131120042
aegA,5.684254899348228,5.69072716900473,4.966176644354709,5.548849644919215,5.493589696747151,5.902078404369701,5.761708125309284,5.916488587228027,5.805774821255166
aer,6.30842094740593,6.4025499462090805,5.8135298197831435,6.115106091878006,6.18130534093036,6.432034049169336,6.5006777873111075,16.70297077459453,16.66547471660427
aes,6.22576271342416,6.138961875714823,6.225741508872562,5.85556370062944,6.196915834019386,6.451862238636078,16.0591754379151,6.2285859169183775,6.188396968106339
afuC,5.785971581489685,5.750065124670146,5.101679487680951,15.306631361712501,5.277709567879693,5.792904794527134,5.702577206752896,6.16418891928259,15.816083657510168
agaB,6.1458058248905365,6.54472956532297,6.175666308778534,5.507090560070502,5.634189559368114,6.024658768431441,6.421214882076658,6.757423346821803,5.958617671494154
agaC,16.027862811804756,5.940371156960155,15.980853606379736,5.418311404529685,5.545820139397381,5.776580419985001,6.2392108945891,6.58423345498854,16.30881894791806
agaD,6.114573169012566,5.8620397007983795,5.806687521252857,5.747704263614995,5.573798643589297,6.133448447481472,6.455889391904428,6.580792199998646,16.266383946848034
agaI,6.228341560445844,6.176939057981072,5.73113707024661,5.743924215744672,5.54925022321289,6.1100207380436435,6.415745147952406,16.65416049623226,6.548253193473547
